No,State,StationID,Address,Latitude,Longitude,Total Annual Trips,Average Monthly Trips,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
107,CO,129,Gunbarrel North,40.07488,-105.20226,277,23,38.62791842,196.8067102,252.8740778,6076.725587,53.72814931,517.4513939,136.0309247,4720.943148,24.48708541,641.5243353
108,CO,130,Library @ Arapahoe,40.01377,-105.28087,2130,178,1395.965433,372.262305,6830.338707,27826.6665,1363.154505,12272.56291,3520.892822,12090.77977,550.3259468,3091.061525
109,CO,131,Municipal Building,40.01508,-105.27959,2854,238,799.370723,1081.880495,4047.878638,47419.3499,780.7965422,17647.62107,2151.739166,23405.52897,315.9722074,5284.319365
110,CO,132,North Boulder Recreation Center,40.032004,-105.28022,1101,92,1149.352327,490.8180404,4896.819501,1089.52974,828.8377643,0.114273047,2414.872982,531.6357519,503.756428,66.96167474
111,CO,133,Settlers' Park,40.01436,-105.29497,2493,208,441.7183065,190.1477808,1906.63262,3781.131654,352.2036279,4.414014326,971.6960218,3586.569859,141.0146634,0
112,CO,134,The Village,40.01491,-105.26061,3644,304,312.2809277,1741.282485,1631.461377,27490.9026,302.9123739,9386.930103,815.7933418,5452.432768,200.4747337,10910.25724
113,CO,135,Twenty Ninth Street North,40.018809,-105.255959,3340,278,0,21053.60081,0.486605991,50008.6746,0,8820.754522,0,8541.526751,0.486605991,11592.79252
114,CO,136,Twenty Ninth Street South,40.0161,-105.25807,1935,161,209.2627166,642.7729941,738.9147134,30759.3502,131.2181051,11630.86944,332.9861978,5370.483244,65.44769395,13115.22451
115,CO,137,UCAR Center Green,40.03154,-105.24611,1667,139,1172.539426,1365.699814,5054.762292,5845.767478,740.3933689,266.7404229,2529.822935,4145.441006,612.0065622,67.88623574
116,CO,138,UCAR Mitchell Lane,40.03643,-105.24226,2363,197,629.5390319,1396.114239,2974.932062,3026.577104,436.7940915,68.49801709,1624.518739,1561.292159,284.0801991,0.672688346
117,CO,139,Williams Village,39.99915,-105.25264,3348,279,1661.088097,591.6523691,6690.534316,3048.68398,1167.631971,1524.243141,3213.50119,532.5419342,648.3130578,400.246536
