GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,Alternate Commuters
Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,AltComm
1500000US080130606001,80130606001,"Block Group 1, Census Tract 606, Boulder County, Colorado",18,0,0,0,27,45
1500000US080130606002,80130606002,"Block Group 2, Census Tract 606, Boulder County, Colorado",42,0,0,32,0,74
1500000US080130606003,80130606003,"Block Group 3, Census Tract 606, Boulder County, Colorado",81,0,0,0,18,99
1500000US080130607001,80130607001,"Block Group 1, Census Tract 607, Boulder County, Colorado",23,0,0,0,0,23
1500000US080130607002,80130607002,"Block Group 2, Census Tract 607, Boulder County, Colorado",20,0,0,25,0,45
1500000US080130607003,80130607003,"Block Group 3, Census Tract 607, Boulder County, Colorado",32,0,0,19,3,54
1500000US080130608001,80130608001,"Block Group 1, Census Tract 608, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130608002,80130608002,"Block Group 2, Census Tract 608, Boulder County, Colorado",14,0,0,0,0,14
1500000US080130608003,80130608003,"Block Group 3, Census Tract 608, Boulder County, Colorado",30,0,0,16,0,46
1500000US080130608004,80130608004,"Block Group 4, Census Tract 608, Boulder County, Colorado",20,0,0,0,0,20
1500000US080130608005,80130608005,"Block Group 5, Census Tract 608, Boulder County, Colorado",61,0,0,0,48,109
1500000US080130609001,80130609001,"Block Group 1, Census Tract 609, Boulder County, Colorado",82,0,8,54,7,151
1500000US080130609002,80130609002,"Block Group 2, Census Tract 609, Boulder County, Colorado",0,0,0,0,48,48
1500000US080130613001,80130613001,"Block Group 1, Census Tract 613, Boulder County, Colorado",42,0,0,0,8,50
1500000US080130613002,80130613002,"Block Group 2, Census Tract 613, Boulder County, Colorado",23,0,0,0,10,33
1500000US080130614001,80130614001,"Block Group 1, Census Tract 614, Boulder County, Colorado",22,0,0,15,19,56
1500000US390490001101,3.90E+11,"Block Group 1, Census Tract 1.10, Franklin County, Ohio",0,0,0,0,0,0
1500000US390490001102,3.90E+11,"Block Group 2, Census Tract 1.10, Franklin County, Ohio",0,0,13,0,20,33
1500000US390490001103,3.90E+11,"Block Group 3, Census Tract 1.10, Franklin County, Ohio",21,0,0,0,0,21
1500000US390490001104,3.90E+11,"Block Group 4, Census Tract 1.10, Franklin County, Ohio",18,0,0,0,0,18
1500000US390490001201,3.90E+11,"Block Group 1, Census Tract 1.20, Franklin County, Ohio",38,0,0,21,0,59
1500000US390490001202,3.90E+11,"Block Group 2, Census Tract 1.20, Franklin County, Ohio",51,0,0,25,10,86
1500000US390490001203,3.90E+11,"Block Group 3, Census Tract 1.20, Franklin County, Ohio",6,0,0,0,10,16
1500000US390490002101,3.90E+11,"Block Group 1, Census Tract 2.10, Franklin County, Ohio",15,0,0,10,11,36
1500000US390490002102,3.90E+11,"Block Group 2, Census Tract 2.10, Franklin County, Ohio",13,0,0,57,0,70
1500000US390490002103,3.90E+11,"Block Group 3, Census Tract 2.10, Franklin County, Ohio",0,0,0,0,16,16
1500000US390490002104,3.90E+11,"Block Group 4, Census Tract 2.10, Franklin County, Ohio",9,0,0,10,0,19
1500000US390490002201,3.90E+11,"Block Group 1, Census Tract 2.20, Franklin County, Ohio",28,0,0,0,0,28
1500000US390490002202,3.90E+11,"Block Group 2, Census Tract 2.20, Franklin County, Ohio",0,0,0,0,8,8
1500000US390490002203,3.90E+11,"Block Group 3, Census Tract 2.20, Franklin County, Ohio",0,0,10,0,0,10
1500000US390490002204,3.90E+11,"Block Group 4, Census Tract 2.20, Franklin County, Ohio",0,0,11,27,20,58
1500000US390490003101,3.90E+11,"Block Group 1, Census Tract 3.10, Franklin County, Ohio",0,0,18,0,0,18
1500000US390490003102,3.90E+11,"Block Group 2, Census Tract 3.10, Franklin County, Ohio",27,0,0,0,0,27
1500000US390490003103,3.90E+11,"Block Group 3, Census Tract 3.10, Franklin County, Ohio",29,0,0,0,0,29
1500000US390490003201,3.90E+11,"Block Group 1, Census Tract 3.20, Franklin County, Ohio",0,0,0,0,0,0
1500000US390490003202,3.90E+11,"Block Group 2, Census Tract 3.20, Franklin County, Ohio",0,0,0,0,9,9
1500000US390490003301,3.90E+11,"Block Group 1, Census Tract 3.30, Franklin County, Ohio",0,0,0,0,0,0
1500000US390490003302,3.90E+11,"Block Group 2, Census Tract 3.30, Franklin County, Ohio",28,0,0,12,4,44
1500000US390490003303,3.90E+11,"Block Group 3, Census Tract 3.30, Franklin County, Ohio",16,0,0,0,0,16
1500000US390490004101,3.90E+11,"Block Group 1, Census Tract 4.10, Franklin County, Ohio",44,7,0,63,0,114
1500000US390490004102,3.90E+11,"Block Group 2, Census Tract 4.10, Franklin County, Ohio",25,0,0,31,0,56
