,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
96,96,1267.2983120069998,691.7319983269999,4436.812753569,3209.3141078689996,642.8058661040001,931.292349925,1904.4523285460002,1085.410274034,622.2562469119999,500.879485583
97,97,1088.0852785420868,634.9849036391165,3810.9332597163357,6469.589539687732,553.6088892030466,1169.559420655057,1737.0326003251653,2381.3228410893753,432.2064916460381,2283.722374304184
98,98,1102.679937722043,1150.442660313,2916.3522012471362,3071.0078213830016,300.6942752020116,518.5693164209999,1269.1522028160625,1213.8859120350007,243.82578550701936,188.10993261400046
99,99,1274.000770985,3696.8932459109997,3479.136732301,4085.905999917,331.247647487,112.609034892,1454.7196448189998,239.263275827,419.1686690100001,37.140443287
100,100,1632.8639280241891,1441.348359015475,4622.363881394505,1823.4506937994752,723.3557408930842,73.45141373399998,1726.5442572681845,279.1183230260002,539.5999552090483,29.532598024
101,101,1119.4741394039997,57.008430356000005,4100.707119748001,3692.450960135,802.2491464980001,2238.135517281,1627.9479388279997,1293.7154093840002,551.0358950180001,103.59160311399998
102,102,853.366721777,178.204298005,3555.6556217270004,4496.759973005,706.538844937,1715.6981398369999,1573.238971507,2135.1385339549997,422.511083506,467.719001208
103,103,430.95293523900006,67.736740906,1718.114324613,4271.773580875999,309.49263497100003,107.61286469400001,821.9495114570001,3794.728993306,155.719242946,301.69498197
104,104,129.94288313099997,22.878524389,849.364991507,3933.4591199819997,138.25533668599996,28.586335356,535.370197841,3593.232414197,45.79657384899999,288.76184604
105,105,298.17258798200004,25.995798236,1300.078865624,906.595556621,160.259904074,0.0,692.88590915,821.822382015,148.76046441800003,58.77737637
106,106,1217.3686152395949,192.767758938,4816.916151166455,723.495847484,748.400408112372,0.0,2323.105478986264,530.728088546,528.0416488282232,0.0
107,107,187.36801639599997,45.245712144,614.9638687710001,5313.872668935001,73.453227167,9.088019654,295.11920439799997,4946.014612643,59.023420810000005,313.524324494
108,108,207.045413764,933.5189233159999,621.5745334,9528.367487026,93.602501916,1517.6420712919999,245.18793758200002,4797.213855771999,75.73868013799999,2279.9926366459995
109,109,394.225399261,9087.219939105998,967.076949207,23442.993140469003,103.073952537,3218.706592588,340.56745149600005,4916.224240287999,129.210145913,6220.8423684869995
110,110,964.1467402000327,2577.1716074390256,2688.820113313124,10151.666564398036,310.7994645360109,1760.9241032600107,1086.2224474240581,4816.083463521,327.6514611530218,997.487390178
111,111,1136.7937879441586,110.45271238014014,2993.4041912084554,5017.753153532153,317.6520289520583,690.207981074,1160.4592035461587,3401.3913207560036,378.49917076608017,815.7011393220091
112,112,788.9189753279999,352.016553286,2113.8713146560003,523.5989773389999,221.00285395999995,0.0,890.314565876,170.514439989,213.63491949199997,1.067984064
113,113,405.3705288120332,31611.656179850354,1419.6460920990996,37997.59858986254,266.767078961,2313.042259177,508.94459211903325,3279.225629414179,238.56389220703323,793.674521421
114,114,668.9303501010629,396.014236383063,2552.8676172894593,3233.0414325888546,502.37981832312596,941.2524272930451,1115.785563764225,1694.5213861862342,265.77188510104503,201.25338272651297
115,115,494.45431808499995,546.0390745999999,1952.426742,3146.145605888,389.04248747299994,423.73467802199997,863.4371731759999,1837.2930637509999,205.492763266,339.07878951500004
116,116,83.807389464,58.673714967,258.53353038299997,1717.6826359510005,42.606823978,16.520645396,114.82009738800001,1550.4613004570003,17.299219553,92.026975131
117,117,258.7167340871408,786.2451714555579,941.6062057104978,6027.357689297162,124.82256956606619,300.943161642,476.6493430632404,3571.6242446135293,81.41755899405047,1368.5451115860747
118,118,1194.6374730119999,14.907674982,4228.017059857999,739.723573649,440.618597378,0.0,2040.075477612,724.6896961970001,552.685511856,0.12620246999999998
119,119,195.69503242800002,0.179418864,682.408564577,9504.688327079057,47.915921109,42.474450345,374.516533228,9356.796770621044,64.28107781199999,105.23768724901366
120,120,123.39050171200002,1942.0505122991253,382.110609757,7440.297259978204,30.853684936000004,1161.8900217491084,166.570558464,1362.7936510415104,61.29586464500001,2973.56307488846
121,121,1118.2539618270564,614.183222139,2879.5567333131526,2632.8809865669996,288.5818716480137,15.837810194,1125.5162877780554,1867.7684256440002,347.20461206002676,135.09152859
122,122,1230.361844195338,3.4244238490448002,3435.792069066339,293.653616982064,345.31589601515935,1.4676102210192001,1548.2659046396632,288.761582912,311.8484242161786,0.0
123,123,958.3986717163341,587.066367849,2587.1716325227685,4727.617509808,256.45553807706676,409.5665292719999,1141.5181317083338,1155.8627752500001,230.7992910210334,2575.121837437
124,124,1097.3205854079997,30.168849564000002,2762.827623047,836.217694286,376.6182256370001,361.82820650400004,1036.64758048,387.08986877000007,252.24123152200002,57.130769448
